"","Term","p.value","p.adj","z.score","set.size","set.mean","set.sd"
"GO:0006613","cotranslational protein targeting to membrane",1.7678932906779e-142,3.30702118954208e-138,25.38671244992,109,0.0184712468450638,0.00860492627216548
"GO:0006614","SRP-dependent cotranslational protein targeting to membrane",7.40992866509059e-142,5.37083424811063e-138,25.3302890021525,107,0.0185963288254531,0.00857335350598213
"GO:0045047","protein targeting to ER",8.61354792276911e-142,5.37083424811063e-138,25.3243554123917,110,0.0183477174400087,0.00883627661420541
"GO:0072599","establishment of protein localization to endoplasmic reticulum",2.05684307690734e-140,9.61882664915717e-137,25.1989456655427,111,0.0181824226882969,0.008966758030617
"GO:0006415","translational termination",9.6485170291707e-135,3.60970319095334e-131,24.6761331128455,95,0.0192022065999815,0.00899100173120882
"GO:0044391","ribosomal subunit",1.38201561721798e-129,4.30866402261324e-126,24.1910442678783,132,0.016104859219194,0.00958963968690441
"GO:0022626","cytosolic ribosome",2.99893641459027e-129,8.01401493876079e-126,24.1590527773883,95,0.0188186844331665,0.00932664752570657
"GO:0003735","structural constituent of ribosome",1.36909891387959e-126,3.20129553537894e-123,23.9046779448842,145,0.01523002881509,0.00995633823080241
"GO:0070972","protein localization to endoplasmic reticulum",1.09698041342846e-124,2.28001284595476e-121,23.7209158807401,128,0.0160423152837528,0.0102237077878375
"GO:0006414","translational elongation",8.54849385855033e-121,1.59908126118042e-117,23.3407829013684,120,0.0162919230150776,0.0104557041526524
"GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",2.7826016009004e-117,4.73194050422208e-114,22.9923069129771,118,0.016190972705148,0.0104892592226135
"GO:0005840","ribosome",7.08804399601906e-112,1.10490792491277e-108,22.4454502900191,200,0.0123381352167689,0.0105120879015762
"GO:0006413","translational initiation",2.21152597576378e-109,3.18221576174132e-106,22.1886256048773,168,0.0132489045341956,0.0108508055964967
"GO:0006612","protein targeting to membrane",1.82144344903337e-101,2.43370865411559e-98,21.3531798388607,166,0.0128560160944447,0.0113212918130571
"GO:0030529","ribonucleoprotein complex",2.88795991080131e-96,3.60147853942996e-93,20.7861536485272,602,0.00693240813323578,0.00937634241122938
"GO:0000956","nuclear-transcribed mRNA catabolic process",2.34710084169802e-93,2.7440542715502e-90,20.4620306396376,180,0.0118979150639817,0.0112185929635546
"GO:0006402","mRNA catabolic process",6.37425528913488e-92,7.01393055520924e-89,20.3004221172544,190,0.0115168978481416,0.0112010255310473
"GO:0043624","cellular protein complex disassembly",1.42125134029587e-88,1.47699597619859e-85,19.9179760195007,178,0.0116661019803205,0.0116953291575623
"GO:0019083","viral transcription",5.7028844100461e-88,5.61463977759592e-85,19.8482713700609,156,0.0123674257383649,0.0119905861107961
"GO:0006412","translation",2.02096928482756e-86,1.89021257209922e-83,19.6681586648515,500,0.00718246733567037,0.0101765062216161
"GO:0019080","viral gene expression",1.17349430110657e-84,1.04530401888093e-81,19.4610987713003,166,0.0117965842809116,0.0119927471385713
"GO:0032984","macromolecular complex disassembly",1.86195818136087e-84,1.58317226093348e-81,19.4374252767195,211,0.010540431145119,0.011439637983645
"GO:0006401","RNA catabolic process",1.30294798424276e-81,1.05969326057587e-78,19.0983506909627,219,0.0101954329825702,0.0112979310862563
"GO:0090150","establishment of protein localization to membrane",2.26696504445186e-81,1.76691033839652e-78,19.0694098113315,291,0.0089344877752648,0.0110591203749491
"GO:0043241","protein complex disassembly",2.85210542236448e-80,2.13405936123e-77,18.9365228830064,201,0.0105256362486089,0.0115833385988447
"GO:0044444","cytoplasmic part",3.66193375048189e-80,2.63462048986593e-77,18.9233563235062,6913,0.00217397865465027,0.00792350518242249
"GO:0044033","multi-organism metabolic process",1.52069897355702e-78,1.05356277775398e-75,18.7259598499059,175,0.0111090706268071,0.0120981064540539
"GO:0005737","cytoplasm",3.0522780886177e-78,2.0391397830601e-75,18.6888224343894,9320,0.00184733778313363,0.00772548937510404
"GO:0003723","RNA binding",5.09794926902441e-78,3.28835306987485e-75,18.6614335017907,1473,0.00426967455800169,0.00838462670569609
"GO:0015934","large ribosomal subunit",1.47324328794937e-77,9.18616298146031e-75,18.6046428444052,72,0.016761172493822,0.0093380949652499
"GO:0044445","cytosolic part",6.70625270086615e-76,4.04668267814201e-73,18.3988731307628,188,0.010574004425735,0.011738399456802
"GO:0022625","cytosolic large ribosomal subunit",2.10655032492209e-75,1.23141032431227e-72,18.3367408608499,52,0.0193058592839724,0.00907538376286747
"GO:0044822","poly(A) RNA binding",3.37111914592058e-75,1.9109137801088e-72,18.3111565793753,1105,0.00476213931232785,0.00857495563441372
"GO:0044446","intracellular organelle part",2.28692606301133e-73,1.25821290984382e-70,18.0800839370025,6370,0.00220129052235693,0.00768065218536867
"GO:0044422","organelle part",1.44873992618462e-69,7.74289401691701e-67,17.590801948296,6559,0.00213668127180675,0.00768910184416763
"GO:0072657","protein localization to membrane",3.57911815193509e-69,1.85974955972494e-66,17.5394776212923,370,0.00743821064581119,0.0109317011410895
"GO:0022627","cytosolic small ribosomal subunit",6.37313404205137e-65,3.22204987542197e-62,16.974207789465,38,0.0208393842031086,0.00677681017280472
"GO:0005925","focal adhesion",1.42504992684971e-63,7.01499577148703e-61,16.7907932335989,367,0.00718520540695202,0.00929878231495212
"GO:0005924","cell-substrate adherens junction",2.51795344295133e-62,1.20771377189353e-59,16.619490149002,372,0.00707820668931747,0.00928217387012752
"GO:1902578","single-organism localization",3.71494596684313e-62,1.69492144526263e-59,16.5961564041928,427,0.00664903016116678,0.0106884548269005
"GO:1902580","single-organism cellular localization",3.71494596684313e-62,1.69492144526263e-59,16.5961564041928,427,0.00664903016116678,0.0106884548269005
"GO:0006886","intracellular protein transport",1.48486391876599e-61,6.61330106296112e-59,16.5127624012896,766,0.00512714219484783,0.00986093669671386
"GO:0030055","cell-substrate junction",1.76186534428857e-61,7.66452398378184e-59,16.502438123294,375,0.00700955538329261,0.0092775565099584
"GO:0043229","intracellular organelle",9.72600150006691e-61,4.08517159219578e-58,16.3989662133046,10599,0.00161275530202586,0.00754077541892081
"GO:0016071","mRNA metabolic process",1.00414982899782e-60,4.08517159219578e-58,16.3970265831516,619,0.00559035643518594,0.00960977405600825
"GO:0044424","intracellular part",1.00458619288467e-60,4.08517159219578e-58,16.3970001839598,12173,0.00147930272830232,0.00748658701512208
"GO:0032991","macromolecular complex",8.16733837752412e-60,3.2506006742546e-57,16.2691738452711,4298,0.00245679329095205,0.00783393494735837
"GO:0046907","intracellular transport",1.4486875496156e-59,5.64565610481445e-57,16.2340416703191,1422,0.00388829268527105,0.00908231378645604
"GO:1902582","single-organism intracellular transport",3.37642252803018e-59,1.28896652672107e-56,16.1820320518309,1189,0.00418162594610339,0.00930489243950157
"GO:0005622","intracellular",1.18861494967426e-58,4.44684624972134e-56,16.1043657703745,12284,0.00146000165712937,0.00748774470743032
"GO:0005829","cytosol",1.52367237414147e-56,5.58859126091969e-54,15.8013065796615,2621,0.00295895662184013,0.00831552526665812
"GO:0043226","organelle",1.78109301097826e-55,6.40713958910756e-53,15.645560572347,11602,0.00149792296925814,0.0075424170641159
"GO:0016032","viral process",1.37107798978023e-54,4.58537428733231e-52,15.5150980427703,691,0.00509130964854743,0.00997463297553545
"GO:0043230","extracellular organelle",1.37271976954244e-54,4.58537428733231e-52,15.5150212264333,2592,0.00293495840291182,0.00850515208233662
"GO:0065010","extracellular membrane-bounded organelle",1.37271976954244e-54,4.58537428733231e-52,15.5150212264333,2592,0.00293495840291182,0.00850515208233662
"GO:0070062","extracellular vesicular exosome",1.37271976954244e-54,4.58537428733231e-52,15.5150212264333,2592,0.00293495840291182,0.00850515208233662
"GO:0043227","membrane-bounded organelle",1.9964553763497e-54,6.55187618771886e-52,15.4909587823755,10731,0.00156232160811037,0.00756077020372861
"GO:0072594","establishment of protein localization to organelle",2.08045609670408e-54,6.70982961119767e-52,15.4883089986649,467,0.00602417034307063,0.0106578794799378
"GO:0044764","multi-organism cellular process",2.40906918076733e-54,7.63797425346333e-52,15.4788764927914,702,0.00504724308607212,0.00993875659403732
"GO:0015935","small ribosomal subunit",2.91881978383925e-54,9.09990714608285e-52,15.4665226681214,61,0.0152300331898705,0.0098449193774322
"GO:0019058","viral life cycle",1.73988690763263e-53,5.33546303183212e-51,15.3511473008153,307,0.00719403016505894,0.0116622076292935
"GO:0016482","cytoplasmic transport",6.75933270201281e-53,2.03935608909438e-50,15.2628619279496,841,0.00462030346092864,0.00971472749532892
"GO:0006605","protein targeting",4.10612742230784e-52,1.21919396129667e-49,15.1447047915246,506,0.00570787627539122,0.0105329674474607
"GO:0005912","adherens junction",4.24343334290121e-52,1.24027600175484e-49,15.1425421156494,433,0.00610805802003322,0.00933130001905616
"GO:0034613","cellular protein localization",1.15222753647877e-51,3.31593358421106e-49,15.0767171854406,1138,0.00403021788589583,0.00928726527964277
"GO:0070727","cellular macromolecule localization",2.41151898749052e-51,6.83482942121176e-49,15.0278646689552,1143,0.0040127552088442,0.0092736521247942
"GO:0043231","intracellular membrane-bounded organelle",8.35153320941481e-51,2.33169821216886e-48,14.9453423108162,9578,0.00163480267440824,0.00751819328539525
"GO:0044802","single-organism membrane organization",1.88867977469249e-50,5.19553586255848e-48,14.8908850450161,647,0.00506277431430301,0.0097446590300112
"GO:0070161","anchoring junction",2.22384662935978e-50,6.02888044185566e-48,14.879959398816,451,0.00591186528238314,0.00933079770041759
"GO:0005198","structural molecule activity",1.26170950833075e-49,3.37164829469072e-47,14.7633720829524,589,0.00523317490779829,0.00960804081263882
"GO:0033365","protein localization to organelle",1.55867390941482e-49,4.10655692246672e-47,14.7491130181595,613,0.00514031487319016,0.0101335937636586
"GO:0044265","cellular macromolecule catabolic process",1.66743649789763e-49,4.33209265689903e-47,14.7445597683856,805,0.00457750517762639,0.00919095637429529
"GO:0022411","cellular component disassembly",6.87432693630042e-49,1.76152273521145e-46,14.6486166067351,437,0.00591445815330082,0.0105723569285585
"GO:0044403","symbiosis, encompassing mutualism through parasitism",2.43868135784967e-47,6.08239646399145e-45,14.4040847323093,757,0.00461017977566249,0.00998795326893681
"GO:0044419","interspecies interaction between organisms",2.43868135784967e-47,6.08239646399145e-45,14.4040847323093,757,0.00461017977566249,0.00998795326893681
"GO:0061024","membrane organization",3.63284702037553e-47,8.94158373199271e-45,14.3765202141904,785,0.00453332186251008,0.00941653543240952
"GO:0015031","protein transport",6.2095945785614e-47,1.50852826216324e-44,14.3393619971211,1357,0.00360756574449658,0.00914610062814157
"GO:0045184","establishment of protein localization",2.02768272183678e-46,4.8627991018819e-44,14.2569964358961,1458,0.0034887585897354,0.00903323969869599
"GO:0044267","cellular protein metabolic process",2.76582712878647e-44,6.54905851532654e-42,13.9096927746747,3693,0.00236935338443211,0.00812476309093399
"GO:0009057","macromolecule catabolic process",1.06117308161229e-43,2.48128795807993e-41,13.8131855743849,1006,0.00396279540363289,0.00905115637837646
"GO:0008104","protein localization",6.15514027019959e-42,1.42145745548585e-39,13.517614763191,1817,0.00307332443798208,0.00880158074036672
"GO:0043228","non-membrane-bounded organelle",1.0891836273802e-40,2.45473119684024e-38,13.3045375616387,3349,0.00239462098574708,0.0077674001150771
