"GO_ID"	"Term"	"p.value"	"p.adj"	"z.score"	"set.size"	"set.mean"	"set.sd"
"GO:0006613"	"cotranslational protein targeting to membrane"	6.64009531673894e-142	1.28897530288536e-137	25.3346124824734	110	0.0182994107559707	0.00875291305946692
"GO:0006614"	"SRP-dependent cotranslational protein targeting to membrane"	2.94162526417606e-141	2.63253589427422e-137	25.2758852413251	108	0.0184201524200769	0.00872740337664583
"GO:0072599"	"establishment of protein localization to endoplasmic reticulum"	4.0684152497541e-141	2.63253589427422e-137	25.2630719251156	116	0.0177923986231456	0.00916357551361581
"GO:0045047"	"protein targeting to ER"	5.91215216438108e-141	2.86916744537414e-137	25.2482961169248	112	0.0180834992749262	0.00899071088847741
"GO:0044391"	"ribosomal subunit"	2.01170958686946e-129	7.810261300062e-126	24.1755458349973	141	0.0155504018085047	0.00981159968632399
"GO:0022626"	"cytosolic ribosome"	1.06877809785109e-128	3.45785340591424e-125	24.1064822441953	100	0.0182690446335492	0.00963237303120264
"GO:0003735"	"structural constituent of ribosome"	7.91562018400574e-125	2.19511455731314e-121	23.7346437497855	145	0.0150814955227267	0.00995251517848299
"GO:0070972"	"protein localization to endoplasmic reticulum"	7.00829093370762e-123	1.70056179506415e-119	23.5453269640182	135	0.0154846188494229	0.0104892426579251
"GO:0006415"	"translational termination"	2.64467593211907e-118	5.70427213269949e-115	23.094246216103	177	0.0133766452172732	0.010267100054186
"GO:0000184"	"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"	3.1625288559238e-118	6.13910101511928e-115	23.0865161613039	119	0.0161389693770418	0.0104601130353291
"GO:0006414"	"translational elongation"	4.09027102029543e-118	7.21821282236135e-115	23.0753918777096	200	0.0126193390946729	0.0102592413478017
"GO:0005840"	"ribosome"	2.44032210579779e-110	3.94762772647888e-107	22.287541841995	206	0.0120507540900841	0.0105013825871898
"GO:0006413"	"translational initiation"	3.83453963850938e-109	5.72585257405724e-106	22.1638579157923	256	0.0108316870773	0.0102814084803744
"GO:0006612"	"protein targeting to membrane"	1.22981506743181e-98	1.7052264349276e-95	21.0465462889163	173	0.0124016948092749	0.0113356529355322
"GO:0030529"	"ribonucleoprotein complex"	2.30479313733403e-96	2.98270962546189e-93	20.7969773266853	636	0.00674262102175437	0.00933314504711559
"GO:0000956"	"nuclear-transcribed mRNA catabolic process"	5.39567853973176e-92	6.54630698832956e-89	20.3086108147339	184	0.0116575222063969	0.0112466826305332
"GO:0043624"	"cellular protein complex disassembly"	6.21648691826351e-90	7.09849670925478e-87	20.0740936738259	271	0.00963782586483879	0.0106993430663901
"GO:0006402"	"mRNA catabolic process"	1.20481798180932e-89	1.29932925904902e-86	20.0411847166029	196	0.0111817562180023	0.011229914869579
"GO:0006412"	"translation"	1.78087301512247e-89	1.81948984050302e-86	20.0217248959231	532	0.00706970619417556	0.0100372040670875
"GO:0032984"	"macromolecular complex disassembly"	7.33832018607087e-88	7.12257357260039e-85	19.8355960799318	305	0.00902981453864964	0.0105339978288256
"GO:0043241"	"protein complex disassembly"	3.19082826317204e-84	2.94954086879503e-81	19.4097663778308	295	0.00899132372665133	0.0105788413485225
"GO:0006401"	"RNA catabolic process"	4.42564160665922e-81	3.73524151602038e-78	19.0343925549081	223	0.0100467824209541	0.0112783154377065
"GO:0015934"	"large ribosomal subunit"	6.09926097259347e-80	4.93328558333268e-77	18.8964518331042	78	0.0163249120805685	0.0094302922128429
"GO:0022625"	"cytosolic large ribosomal subunit"	2.73557873052858e-79	2.12412217268083e-76	18.8170864353336	52	0.0197284182435228	0.00881272624743653
"GO:0090150"	"establishment of protein localization to membrane"	9.77701222852651e-77	6.77826290643416e-74	18.5029322315702	313	0.00838357861382976	0.0110509949726066
"GO:0044445"	"cytosolic part"	1.93955752300206e-75	1.2550230212172e-72	18.3412312077284	198	0.0102606123106102	0.0116497541164663
"GO:0019083"	"viral transcription"	4.25164023177028e-74	2.66234968319757e-71	18.172624012094	185	0.0104987615904769	0.0120676060161551
"GO:0019080"	"viral gene expression"	5.39233395586677e-72	3.07870549268487e-69	17.9049733889088	195	0.0101086434342801	0.0120023341221842
"GO:0044033"	"multi-organism metabolic process"	2.5987357728738e-67	1.44133310922932e-64	17.2942503479635	204	0.0095933325428654	0.0120202966720449
"GO:0005925"	"focal adhesion"	8.2263772438432e-64	4.43584541826345e-61	16.8233700623084	375	0.00710349881148622	0.00934155242018167
"GO:0022627"	"cytosolic small ribosomal subunit"	2.50541456052367e-63	1.31446236348339e-60	16.7572733881185	40	0.0200245098399209	0.00758734405931604
"GO:0005924"	"cell-substrate adherens junction"	1.39146027952014e-62	7.10816498580132e-60	16.6550112109293	380	0.0069998277852159	0.0093239146436312
"GO:0030055"	"cell-substrate junction"	2.13269329025631e-61	1.03499605376139e-58	16.4909013558503	384	0.00690733659177036	0.00932017545648608
"GO:0072657"	"protein localization to membrane"	2.24700682220856e-59	1.06387552274909e-56	16.2070825929222	426	0.00649778910616818	0.0107936512571048
"GO:0016032"	"viral process"	3.62213972922883e-55	1.46485367549563e-52	15.6003088644797	733	0.00496776186502552	0.00990778626378691
